NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0478626,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3676736,550096,2026-01-05T20:16:40.707000,,2026-01-05T20:16:40.707000,2026-01-05T21:07:33.920000,NAT,Necessary Action Taken,Y,3M04,Mirabeau Av & St Bernard Av,70122,3,POINT (-90.08247263 30.00671855)
A0478726,21,COMPLAINT OTHER,1J,62R,RESIDENCE BURGLARY,1E,3686536,541091,2026-01-05T20:16:42.650000,2026-01-05T21:24:22.047000,2026-01-05T21:33:09.197000,2026-01-05T21:43:37.067000,NAT,Necessary Action Taken,N,5L02,023XX Music St,70117,5,POINT (-90.05183023 29.98166032)
A0478826,63,PROWLER,1B,63,PROWLER,2D,3682795,537632,2026-01-05T20:20:37.003000,2026-01-05T21:50:47.853000,2026-01-05T21:56:01.647000,2026-01-05T22:01:57.750000,GOA,GONE ON ARRIVAL,N,5A02,016XX N Robertson St,70116,5,POINT (-90.06376592 29.97226266)
A0478926,103,DISTURBANCE (OTHER),1A,63,PROWLER,2D,3670373,519143,2026-01-05T20:22:57.387000,2026-01-05T20:50:33.523000,,2026-01-05T20:51:30.067000,NAT,Necessary Action Taken,N,2F04,045XX Camp St,70115,2,POINT (-90.1036222 29.92179654)
A0479026,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3694892,557661,2026-01-05T20:23:10.023000,,2026-01-05T20:23:10.023000,2026-01-05T20:32:13.723000,NAT,Necessary Action Taken,Y,7A05,Downman Rd & Regency Mall,70126,7,POINT (-90.02483835 30.02696166)
A0479126,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668987,548555,2026-01-05T20:25:11.687000,,2026-01-05T20:25:11.687000,2026-01-05T20:40:52.250000,NAT,Necessary Action Taken,Y,3I04,Vicksburg St & French St,70124,3,POINT (-90.10700406 30.00271204)
A0479226,22B,BUSINESS CHECK,1K,BUSCK,BUSINESS CHECK,0,3670216,548980,2026-01-05T20:25:27.143000,,2026-01-05T20:25:27.143000,2026-01-05T20:26:01.780000,NAT,Necessary Action Taken,Y,3I04,009XX Harrison Av,70124,3,POINT (-90.10310803 30.00384315)
A0479426,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,1F,3704382,511953,2026-01-05T20:29:42.973000,2026-01-05T21:30:41.767000,2026-01-05T21:39:52.860000,2026-01-05T21:47:44,NAT,Necessary Action Taken,N,4D05,055XX Tullis Dr,70131,4,POINT (-89.99653657 29.90098137)
A0479526,21N,NOISE COMPLAINT,1G,103,DISTURBANCE (OTHER),2D,3681660,556138,2026-01-05T20:30:04.707000,2026-01-05T21:35:39.713000,2026-01-05T21:46:39.907000,2026-01-05T21:52:48.347000,GOA,GONE ON ARRIVAL,N,3S01,062XX Wadsworth Dr,70122,3,POINT (-90.06670471 30.02318244)
A0479626,21,COMPLAINT OTHER,2,21,COMPLAINT OTHER,1J,3685269,552954,2026-01-05T20:30:05.860000,2026-01-05T20:33:43.050000,2026-01-05T20:40:34.827000,2026-01-05T21:32:02.557000,NAT,Necessary Action Taken,N,3R03,054XX St Roch Av,70122,3,POINT (-90.05541231 30.01431795)
A0479726,22A,AREA CHECK,1K,RESCK,RESIDENCE CHECK,0,3668595,549241,2026-01-05T20:30:35.410000,,2026-01-05T20:30:35.410000,2026-01-05T21:40:38.367000,NAT,Necessary Action Taken,Y,3E02,Canal Blvd & Harrison Av,70124,3,POINT (-90.10822086 30.00460902)
A0479826,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3670705,541326,2026-01-05T20:32:37.907000,,2026-01-05T20:32:37.907000,2026-01-05T20:38:45.130000,NAT,Necessary Action Taken,Y,3H02,St Peter St & N Olympia St,70119,3,POINT (-90.1018218 29.98278375)
A0479926,67,THEFT,1,67S,SHOPLIFTING,1E,3668929,525507,2026-01-05T20:33:03.293000,2026-01-05T21:49:44.360000,2026-01-05T21:57:57.800000,2026-01-05T23:01:17.807000,RTF,REPORT TO FOLLOW,N,2N03,027XX Robert St,70115,2,POINT (-90.10796557 29.93933965)
A0602126,35D,SIMPLE BATTERY DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3702304,553930,2026-01-06T22:36:18.343000,2026-01-06T22:39:31.593000,2026-01-06T22:45:43.500000,2026-01-07T00:46:46.417000,RTF,REPORT TO FOLLOW,N,7E01,046XX Lonely Oak Dr,70126,7,POINT (-90.00155464 30.01646824)
A0480126,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,2,3682150,537684,2026-01-05T20:34:28.303000,,,2026-01-05T22:10:00.223000,REF,REFERRED TO EXTERNAL AGENCY,N,1A01,I-10 E & N Claiborne Ave Exit,70116,1,POINT (-90.06579956 29.97242485)
A0480226,21,COMPLAINT OTHER,1A,21,COMPLAINT OTHER,1J,3684551,540485,2026-01-05T20:34:39.627000,2026-01-05T21:11:50.587000,2026-01-05T21:12:21.280000,2026-01-05T21:17:44.800000,NAT,Necessary Action Taken,N,5K01,I-10 E & Elysian Fields Av,70119,5,POINT (-90.05812014 29.98005511)
A0480326,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3694393,559194,2026-01-05T20:36:05.273000,,2026-01-05T20:36:05.273000,2026-01-05T20:42:07.367000,NAT,Necessary Action Taken,Y,7A05,Downman Rd & Wales St,70126,7,POINT (-90.02636113 30.03119185)
A0602226,103D,DOMESTIC DISTURBANCE,2C,63,PROWLER,2D,3691983,543165,2026-01-06T22:38:28.587000,2026-01-06T22:39:38.633000,2026-01-06T22:46:44.867000,2026-01-07T01:11:04.673000,RTF,REPORT TO FOLLOW,N,5Q02,029XX Oliver White Av,70126,5,POINT (-90.03455091 29.98719359)
A0602426,62A,"BURGLAR ALARM, SILENT",1,62A,"BURGLAR ALARM, SILENT",2C,3663555,526007,2026-01-06T22:39:40.883000,,2026-01-06T22:50:18.387000,2026-01-06T23:09:11.517000,NAT,Necessary Action Taken,N,2H03,072XX Freret St,70118,2,POINT (-90.12491622 29.94087124)
A0480626,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3668595,549241,2026-01-05T20:39:23.007000,,2026-01-05T20:39:23.007000,2026-01-05T21:40:11.617000,NAT,Necessary Action Taken,Y,3E02,Canal Blvd & Harrison Av,70124,3,POINT (-90.10822086 30.00460902)
A0480726,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3668417,547282,2026-01-05T20:39:57.040000,,2026-01-05T20:39:57.040000,2026-01-05T21:16:12.590000,NAT,Necessary Action Taken,Y,3E02,Canal Blvd & Polk St,70124,3,POINT (-90.10884868 29.99922933)
A0480826,103,DISTURBANCE (OTHER),2D,103,DISTURBANCE (OTHER),2D,3683913,540895,2026-01-05T20:42:21.163000,2026-01-05T20:44:31.493000,2026-01-05T20:53:25.177000,2026-01-05T21:11:44.913000,NAT,Necessary Action Taken,N,5K01,023XX Touro St,70119,5,POINT (-90.06011901 29.98120203)
A0480926,22B,BUSINESS CHECK,1K,BUSCK,BUSINESS CHECK,0,3699502,552109,2026-01-05T20:45:47.617000,,2026-01-05T20:45:47.617000,2026-01-05T20:46:00.373000,NAT,Necessary Action Taken,Y,7C05,067XX Chef Menteur Hwy,70126,7,POINT (-90.01047334 30.01155105)
A0481026,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3721876,557934,2026-01-05T20:45:48.917000,,2026-01-05T20:45:48.917000,2026-01-05T21:52:34.457000,NAT,Necessary Action Taken,Y,7J01,Chef Menteur Hwy & I-510 S,70129,7,POINT (-89.93956405 30.02683764)
A0481126,103D,DOMESTIC DISTURBANCE,1,45D,ABDUCTION/CUSTODY DISPUTE DOMESTIC,2F,3684028,552588,2026-01-05T20:45:50.590000,2026-01-05T21:35:48.907000,2026-01-05T21:57:28,2026-01-05T23:25:09.587000,RTF,REPORT TO FOLLOW,N,3R03,053XX Marigny St,70122,3,POINT (-90.05934602 30.01335049)
A0602526,56,SIMPLE CRIMINAL DAMAGE,1A,56,SIMPLE CRIMINAL DAMAGE,0,3690575,529365,2026-01-06T22:47:07.307000,2026-01-07T00:12:28.507000,2026-01-07T00:21:44.343000,2026-01-07T01:06:21.350000,RTF,REPORT TO FOLLOW,N,4H01,Wagner St & Evelina St,70114,4,POINT (-90.03948943 29.94929367)
A0481326,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3673713,533358,2026-01-05T20:47:27.530000,,2026-01-05T20:47:27.530000,2026-01-05T21:07:41.017000,NAT,Necessary Action Taken,Y,1K01,007XX S Broad St,70119,1,POINT (-90.09259527 29.96078457)
A0481426,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667132,544674,2026-01-05T20:48:21.107000,,2026-01-05T20:48:21.107000,2026-01-05T21:04:31.337000,NAT,Necessary Action Taken,Y,3E01,Homedale St & Rosemary Pl,70124,3,POINT (-90.11299606 29.9920939)
A0481526,21,COMPLAINT OTHER,1J,103,DISTURBANCE (OTHER),2D,3680706,531181,2026-01-05T20:48:49.923000,2026-01-05T20:52:00.910000,2026-01-05T20:59:10.263000,2026-01-05T21:07:46.670000,NAT,Necessary Action Taken,N,8D01,008XX Canal St,70112,8,POINT (-90.07058853 29.9545895)
A0481626,103,DISTURBANCE (OTHER),2D,103,DISTURBANCE (OTHER),2D,3695997,554900,2026-01-05T20:49:49.390000,,,2026-01-05T20:51:35.250000,DUP,DUPLICATE,N,7D01,060XX Downman Rd,70126,7,POINT (-90.02144767 30.01933664)
A0481826,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3696795,552875,2026-01-05T20:50:50.823000,,2026-01-05T20:50:50.823000,2026-01-05T21:05:22.050000,NAT,Necessary Action Taken,Y,7C03,Ransom St & Skyview Dr,70126,7,POINT (-90.01899846 30.01374223)
A0481926,21,COMPLAINT OTHER,1J,67F,THEFT BY FRAUD,0,3678907,532570,2026-01-05T20:51:45.403000,,,2026-01-05T23:56:34.970000,NAT,Necessary Action Taken,N,1E02,015XX Canal St,70112,1,POINT (-90.07621943 29.95846306)
A0482026,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,2C,37369000,3513814,2026-01-05T20:52:47.793000,2026-01-05T21:02:34.963000,,2026-01-05T21:53:41.267000,VOI,VOID,N,4A04,020XX Le Boeuf St,70114,4,POINT (0 0)
A0482126,21,COMPLAINT OTHER,1A,21,COMPLAINT OTHER,1F,3664414,536366,2026-01-05T20:53:24.400000,2026-01-05T20:56:24.453000,2026-01-05T21:01:39.173000,2026-01-05T21:06:42.263000,GOA,GONE ON ARRIVAL,N,2S01,033XX Hamilton St,70118,2,POINT (-90.12185754 29.96932881)
A0482226,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667748,539293,2026-01-05T20:54:51.150000,,2026-01-05T20:54:51.150000,2026-01-05T21:44:17.643000,NAT,Necessary Action Taken,Y,3D02,049XX Banks St,70119,3,POINT (-90.11123231 29.97728071)
